title,company,location,contract
برنامهنویس (Full-Stack (.NET,بهینه پردازش سپهر پارس | Behineh Pardazesh Sepehr Pars,تهران، تهران,قرارداد تماموقت  
برنامهنویس Back-End,روبیکا(واحد توسعه پشتیبانی)  | Rubika,تهران، تهران,قرارداد تماموقت  
برنامهنویس C++,هلدینگ فناوری نوآوری آراد | Arad Innovation Technology Holding,تهران، تهران,قرارداد تماموقت  
برنامهنویس جاوا (Java),موسسه فرهنگی تبلیغاتی بهمن سبز | Bahman Sabz,تهران، تهران,قرارداد تماموقت  
React) Senior Front-End-خانم),مفید | Mofid,تهران، تهران,قرارداد تماموقت  
Django) Senior Python-خانم),مفید | Mofid,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار (خانم-مشهد),بین المللی توتال ناو | Total NAV,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس ارشد Python (امریه-آقا-شیراز),مهندسی توسعه فناوری اطلاعات و ارتباطات مهرپارس | Mehr-e Pars ICT,فارس، شیراز,قرارداد تماموقت  
برنامهنویس موبایل,داده پردازی آرین سیستم | ArianSystem Co,تهران، تهران,قرارداد تماموقت  
کارشناس انفورماتیک (رشت),صنعتی پارس خزر | Parskhazar,گیلان، رشت,قرارداد تماموقت  
برنامهنویس ارشد بکاند (Senior Backend Developer-تبریز),نرم افزاری ستاره تبریز | Tabriz Star software company,آذربایجان شرقی، تبریز,قرارداد تماموقت  
کارشناس پایگاه داده (Data Warehouse),دانش بنیان گروه فن آوری دادمان ایرانیان | Dademan,تهران، تهران,قرارداد تماموقت  
Angular Developer,بهپرداز جهان | Behpardaz Jahan,تهران، تهران,قرارداد تماموقت  
کارشناس ارزیابی امنیتی نرمافزار,پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,تهران، تهران,قرارداد تماموقت  
برنامهنویس دلفی,دی کامپیوتر | Day Computer,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد پایگاه داده (Sql Server),توسعه فنون انفورماتیک فردا | Infarda,تهران، تهران,قرارداد تماموقت  
پشتیبان فنی و راهبر سامانه,داده و هوش مصنوعی الگوریتم | Data and AI Algorithms,تهران، تهران,قرارداد تماموقت  
کارشناس تست نفوذ نرمافزارهای موبایل (Android),نوآوران ارتباطات دوران | Douran Group,تهران، تهران,قرارداد تماموقت  
کارشناس شکار تهدید,پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,تهران، تهران,قرارداد تماموقت  
برنامهنویس C# (Windows App),داریان پرداز پویا | Darian Pardaz Pouya,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار,دی کامپیوتر | Day Computer,تهران، تهران,قرارداد تماموقت  
کارشناس تست نفوذ وب,پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,تهران، تهران,قرارداد تماموقت  
کارآموز طراحی سایت و سئو(کرج),پالیز محتوا | Palizmohtava,البرز، کرج,قرارداد تماموقت  
Scrum Master,رایان پرداز کاوش  | Rayan Pardaz Kavosh,تهران، تهران,قرارداد تماموقت  
برنامهنویس هوش مصنوعی (ساری),درنیکا | DORNICA,مازندران، ساری,قرارداد تماموقت  
متخصص هوش مصنوعی (ساری),درنیکا | DORNICA,مازندران، ساری,قرارداد تماموقت  
(Net & React.) Full-Stack Developer,رایان پرداز کاوش  | Rayan Pardaz Kavosh,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار (QA),فناوری سروین | Sarveen Technologies,تهران، تهران,قرارداد تماموقت  
تحلیلگر و طراح نرم افزار,رایان پرداز کاوش  | Rayan Pardaz Kavosh,تهران، تهران,قرارداد تماموقت  
مدیر پروژه نرمافزاری,کهن میران ارتباط | kohanMiran,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار,پویا | Pooya Co.,تهران، تهران,قرارداد تماموقت  
برنامهنویس (Back-End (PHP,تجارتخانه حاجی قاسم  | Bloom,تهران، تهران,قرارداد تماموقت  
برنامهنویس Angular,فن آوران نوین سپیدز ایرانیان | Fan Avaran Novin Sepidz Iranian,تهران، تهران,قرارداد تماموقت  
(Software Engineer(AdTech,اسمارتک | Smartech,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی و استقرار نرمافزار,کسب وکار سیکا | Sikabiz,تهران، تهران,قرارداد تماموقت  
برنامه نویس Embedded,تامین صنعت آمن | Tamin Sanat Amen,تهران، تهران,قرارداد تماموقت  
کارآموز تست نرم افزار (QA),بهپرداز جهان | Behpardaz Jahan,تهران، تهران,قرارداد تماموقت  
سوپروایزر QA,شبکه اطلاع رسانی طلا، سکه و ارز | TGJU,تهران، تهران,قرارداد تماموقت  
برنامهنویس Laravel) PHP-اصفهان),جویشگر پردیس ارم | Jooyeshgar Pardis Eram,اصفهان، اصفهان,قرارداد تماموقت  
کارشناس Google Ads (دورکاری),وان پلتفرم | 1Platform,تهران، تهران,قرارداد دورکاری  
کارشناس ارشد استقرار نرمافزار,آپتایم | OPTime,تهران، تهران,قرارداد تماموقت  
Laravel Developer (مشهد),امام هشت | emam8,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس سیستم و مجازیسازی (Sysadmin & Virtualization Specialist),دیجی‌پی  | Digipay,تهران، تهران,قرارداد تماموقت  
مدیر تیم تست نرم افزار,فلای تودی | Flytoday,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد تست نرمافزار,فلای تودی | Flytoday,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی IT,سراج سبز | Seraj Sabz,تهران، تهران,قرارداد تماموقت  
Full-Stack Developer,تضامنی ادیب حافظی گل و شرکاء | adib,تهران، تهران,قرارداد تماموقت  
برنامهنویس Back-End,آتی رویکرد افکار | Ati Roykard Afkar,تهران، تهران,قرارداد تماموقت  
برنامهنویس Angular) Front-End-آقا),یاری رسان فناور محور | Yaariresaan Fanavar Mehvar,تهران، تهران,قرارداد تماموقت  
Full-Stack Developer,تجارت الکترونیک هوشمند تمدن | Tamadon Smart E-Commerce,تهران، تهران,قرارداد تماموقت  
کارشناس برنامهنویس.NET,سلامت الکترونیکی تامین | SATA,البرز، کرج,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار (آقا),سلامت الکترونیکی تامین | SATA,تهران، تهران,قرارداد تماموقت  
AR/VR & Map Specialist) Unity Developer-دورکاری),آبان | Aban,تهران، تهران,قرارداد دورکاری  
Java Developer,بهپرداز جهان | Behpardaz Jahan,تهران، تهران,قرارداد تماموقت  
برنامهنویس پایتون (قزوین),فراگستر | Faragostar,قزوین، قزوین,قرارداد تماموقت  
پشتیبان وب سایت (خانم),نیک آموز | Nik Amooz,تهران، تهران,قرارداد تماموقت  
برنامهنویس (Front-End (Angular,بهپرداز جهان | Behpardaz Jahan,تهران، تهران,قرارداد تماموقت  
PHP) Senior Back-End Developer-مشهد),آساسیستم یگانه | Asa System Yeganeh,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس پشتیبانی و ارتباطات فنی (API & Web Services),طاها گشت | Tahagasht,تهران، تهران,قرارداد تماموقت  
Python back-End Developer (System Approach-زنجان),گروه توسعه سیستم سانای شرق | Sanay System Development,زنجان، زنجان,قرارداد تماموقت  
برنامهنویس ++C/C (آقا),هوشان کاوش برنا  | Hooshan Kavoosh Borna,تهران، تهران,قرارداد تماموقت  
برنامهنویس Node JS) Full-Stack-تبریز),آکام پرنیان | ICTSG,آذربایجان شرقی، تبریز,قرارداد تماموقت  
برنامهنویس بک اند (Javascript-آقا),هوشان کاوش برنا  | Hooshan Kavoosh Borna,تهران، تهران,قرارداد تماموقت  
Crypto And Blockchain Developer,ریشه های درخت انبه | ROMT,تهران، تهران,قرارداد تماموقت  
مدیر پشتیبانی نرمافزار,توسعه اعتماد وثوق گستر | Tosee Etemad Vosouq Gostar,تهران، تهران,قرارداد تماموقت  
برنامهنویس دات نت (.NET),لندر  | LANDER,تهران، تهران,قرارداد تماموقت  
کارشناس تست و مستندسازی (QA),موسسه خدمات مدیریت و فناوری رشد قلم‌چی | GMTII,تهران، تهران,قرارداد تماموقت  
iOS Developer,توسعه نرم افزارهای بانکی نگاه فردای کارآفرین | Negah-E Bank Karafarin,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار,علم و صنعت نوید | Elmo Sanat,تهران، تهران,قرارداد تماموقت  
کارشناس پایگاه داده,توسعه اعتماد وثوق گستر | Tosee Etemad Vosouq Gostar,تهران، تهران,قرارداد تماموقت  
برنامهنویس پایتون (Python/Django),انرژی یار | Energy Yar,تهران، تهران,قرارداد تماموقت  
برنامهنویس فولاستک (PHP/Laravel & Vue.js),همراه بیمه خلیج فارس | Along Insurance Khalij Fars,تهران، تهران,قرارداد تماموقت  
توسعهدهنده فرآیند (BPMS-قم),مرکز داده امین (عصر پردازش اطلاعات امین) | Amin Internet Data Center,قم، قم,قرارداد تماموقت  
برنامهنویس PHP) Back-End-قم),مرکز داده امین (عصر پردازش اطلاعات امین) | Amin Internet Data Center,قم، قم,قرارداد تماموقت  
کارشناس هوش مصنوعی (مشهد),خبرفوری | Khabarefori,خراسان رضوی، مشهد,قرارداد تماموقت  
Django) Senior Python Developer-اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
کارشناس تست و تحلیل نرمافزار (اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
Product Owner (دورکاری),وب اسمارت | Web Smart,تهران، تهران,قرارداد دورکاری  
Technical Lead,طاها گشت | Tahagasht,تهران، تهران,قرارداد تماموقت  
برنامهنویس Oracle PL/SQL,توسعه سامانه‌های نرم‌افزاری نگین (توسن) | Tosan,تهران، تهران,قرارداد تماموقت  
مدیر تیم برنامهنویسی (Technical Team Lead),شریف کلینیک | Sharif Clinic,تهران، تهران,قرارداد تماموقت  
تحلیلگر نرمافزار,داده پردازی خوارزمی | DP Kharazmi,تهران، تهران,قرارداد تماموقت  
Senior Full-Stack Developer,دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,تهران، تهران,قرارداد تماموقت  
