title,company,location,contract
iOS Developer,توسعه نرم افزارهای بانکی نگاه فردای کارآفرین | Negah-E Bank Karafarin,تهران، تهران,قرارداد تماموقت  
کارشناس پایگاه داده,توسعه اعتماد وثوق گستر | Tosee Etemad Vosouq Gostar,تهران، تهران,قرارداد تماموقت  
برنامهنویس پایتون (Python/Django),انرژی یار | Energy Yar,تهران، تهران,قرارداد تماموقت  
توسعهدهنده فرآیند (BPMS-قم),مرکز داده امین (عصر پردازش اطلاعات امین) | Amin Internet Data Center,قم، قم,قرارداد تماموقت  
برنامهنویس پایتون (Python-دورکاری),اپتک | Apptech,تهران، تهران,قرارداد دورکاری  
توسعهدهنده نرمافزار (Back-End-یزد),فاوان | Fawan,یزد، یزد,قرارداد تماموقت  
برنامهنویس ارشد بکاند (Senior Backend Developer-دورکاری),ابرسام داده گستر شمال | Abarsam Dade Gostar Shoma,تهران، تهران,قرارداد دورکاری  
انیماتور گیم,آفرینش رویای همبازی | Afarinesh Royaye Hambazi,تهران، تهران,قرارداد تماموقت  
Scrum Master(رشت),شاپفا | Shopfa,گیلان، رشت,قرارداد تماموقت  
Platform Tech Lead,تلوبیون | Telewebion,تهران، تهران,قرارداد تماموقت  
Mid-level Flutter Developer (آقا-مشهد-حضوری),داده پردازی افق نو | New Horizon,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس طراحی وب سایت,کارآفرینان آریا کاشانه | Karafarinan Ariya Kashaneh,تهران، تهران,قرارداد تماموقت  
برنامهنویس اندروید (امریه-قم-آقا),مرکز تحقیقات کامپیوتری علوم اسلامی (نور) | CRCIS,قم، قم,قرارداد تماموقت  
کارشناس فناوری اطلاعات (فولاد شهر),صنعت منصور | Sanat Mansoor,اصفهان، فولاد شهر,قرارداد تماموقت  
Senior Software Engineer,پردازش اطلاعات مالی مبنا | Mabna DP,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار,دپارتمان استور روشا | Rosha Department Stor,تهران، تهران,قرارداد تماموقت  
برنامهنویس بکاند (Node-شیراز),رادهوش | Radhoosh,فارس، شیراز,قرارداد تماموقت  
برنامهنویس جاوا (Java),پویا | Pooya Co.,تهران، تهران,قرارداد تماموقت  
ادمین سایت,انتشارات پویش | Entesharat Pooyesh,تهران، تهران,قرارداد تماموقت  
Senior Speech & ASR Engineer (Speech-to-Text),شریف کلینیک | Sharif Clinic,تهران، تهران,قرارداد تماموقت  
Senior Large Language Models (LLM) Specialist,شریف کلینیک | Sharif Clinic,تهران، تهران,قرارداد تماموقت  
برنامهنویس لاراول (یزد),رامش تجارت روشن | Ramesh Tejarat Roshan,یزد، یزد,قرارداد تماموقت  
اسکرام مستر (Scrum Master),کمک رسان ایران | Iran Assistance,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Front-End (کرج),دیده نگار سپنتا | Dide Negar Sepanta,البرز، کرج,قرارداد تماموقت  
برنامهنویس سیستم های نهفته (Embedded Linux),ژئوپرداز | Geo Pardaz,تهران، تهران,قرارداد تماموقت  
برنامهنویس PHP,قسطا | Ghesta,تهران، تهران,قرارداد تماموقت  
AI Software Engineer (دورکاری),ترب | Torob,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Golang,همکاران سیستم | System Group,تهران، تهران,قرارداد تماموقت  
برنامهنویس NET) Full-Stack.-مشهد),تحقیق و توسعه یسنا پارس | Yesnapars,خراسان رضوی، مشهد,قرارداد تماموقت  
Back-End Team Lead (آقا-تبریز),پویا نگار | Punas,آذربایجان شرقی، تبریز,قرارداد تماموقت  
برنامهنویس C# / ASP.NET MVC (مشهد),نسیم تلکام | Nasim Telecom,خراسان رضوی، مشهد,قرارداد تماموقت  
Senior Back-End Developer (C#/.Net-مشهد),ایران هتل آنلاین | Iran Hotel Online,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس فلاتر (Flutter Developer-مشهد),پیشگامان | Pishgaman,خراسان رضوی، مشهد,قرارداد تماموقت  
سنیور فول استک دولوپر (Senior Full-Stack Developer-اردبیل),ایشاپتل | eshoptell,اردبیل، اردبیل,قرارداد تماموقت  
مهندس کامپیوتر,سامانه متمرکز الکترونیک توسعه تعاون (سمات) | Samat,تهران، تهران,قرارداد تماموقت  
Senior Front-End Developer,فرینه فناور | Farineh Fanavar,تهران، تهران,قرارداد تماموقت  
برنامهنویس وردپرس (Wordpress-دورکاری),گروه نوآوری و سرمایه گذاری ما  | MA GROUP,تهران، تهران,قرارداد دورکاری  
کارآموز سئو,آژانس دیجیتال مارکتینگ تیکینو | Tikyno Digital Marketing Agency,تهران، تهران,قرارداد تماموقت  
PHP) Senior Back-End Developer-مشهد),سامانه جهش هدفمند صادرات | Made in Iran,خراسان رضوی، مشهد,قرارداد تماموقت  
Senior Front-End Developer (مشهد),سامانه جهش هدفمند صادرات | Made in Iran,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس NET) Full-Stack.),سازمان یار | Sazmanyar,تهران، تهران,قرارداد تماموقت  
کارشناس آزمون نفوذ وب (آقا),فناوران توسعه امن ناجی 1 | fanavaran tosee amn naji,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی فنی (Help Desk-آقا),پویش آکس | Pooyesh Axe,تهران، تهران,قرارداد تماموقت  
متخصص بازی سازی (UNREAL ENGINE-دورکاری-مشهد),نیا استودیو | Nia studio,خراسان رضوی، مشهد,قرارداد دورکاری  
کارشناس پیادهسازی نرمافزار (ERP-مشهد),آسان افزار نواندیش (آسان تک) | Asaan Afzar No Andish (asaan tech),خراسان رضوی، مشهد,قرارداد پارهوقت  
اسکرام مستر,الگنت هوپو | Elegant Hoopoe,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد Devops,لایف وب | Life Web,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی و استقرار نرمافزار (کرج),هوشمند سازان بیتا | Hooshmand Sazan Bita,البرز، کرج,قرارداد تماموقت  
برنامهنویس WordPress) PHP-اهواز),نخل مارکت | nakhlmarket,خوزستان، اهواز,قرارداد تماموقت  
برنامهنویس Net Core.) Back-End),توسعه فناوری رفاه پردیس | RPTD,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Back-End (آقا-بیرجند),گروه فناوری اطلاعات سبحان | Sobhan IT Group,خراسان جنوبی، بیرجند,قرارداد تماموقت  
کارشناس ارشد استقرار و پشتیبانی نرمافزار(آقا),سرزمین هوشمند پاد | Pod,تهران، تهران,قرارداد تماموقت  
مدیر تیم برنامهنویسی (Technical Team Lead-مشهد),تجارت الکترونیک صدرا | Sadra Group,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس پشتیبانی نرم افزار حسابداری (شیراز),نیکان اکسیر ویستا رایان | Nikan Exir Vista Rayan,فارس، شیراز,قرارداد تماموقت  
ASP.NET) Full Stack Developer-شیراز),نیکان اکسیر ویستا رایان | Nikan Exir Vista Rayan,فارس، شیراز,قرارداد تماموقت  
Senior Front-End Developer,آژانس تبلیغاتی آلفا | Alfa Social Media Marketing Agency,تهران، تهران,قرارداد تماموقت  
توسعهدهنده ارشد وب,ایده پردازان زرفام | Zarfaam Digital Agency,تهران، تهران,قرارداد تماموقت  
متخصص هوش مصنوعی (یادگیری ماشین),تترونیکس | Tetronix Inc,تهران، تهران,قرارداد تماموقت  
برنامهنویس PHP(مشهد-Laravel),کلور | Clever,خراسان رضوی، مشهد,قرارداد تماموقت  
Full-Stack Developer (اصفهان),سمیکالن | Semicolon Marketing Agency,اصفهان، اصفهان,قرارداد تماموقت  
برنامهنویس Angular (شیراز),داروخانه سبز | Green Pharmacy,فارس، شیراز,قرارداد تماموقت  
برنامهنویس Net Core.) Back-End-آقا-دورکاری),آیتورز | iTours,تهران، تهران,قرارداد دورکاری  
کارآموز برنامه نویسی هوش مصنوعی (AI),آرمان رایان شریف | Arman Rayan Sharif,تهران، تهران,قرارداد تماموقت  
متخصص هوش مصنوعی (بازارهای مالی-دورکاری),اکسون طرح البرز | Axon Tarh,تهران، تهران,قرارداد دورکاری  
پشتیبان سایت (خانم),روبوکد | Robocode,تهران، تهران,قرارداد تماموقت  
برنامهنویس ASP.NET Core (مسلط به Razor),ورسا | Varsa Agency,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد SOLID-Refactoring) #C),توسعه زیرساخت ها و فناوری اطلاعات سیگما | Sigma ITID,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار نرمافزار,توسعه ارتباطات الکترونیک تجارت ایرانیان | Tejarat Iranian Development Digital,تهران، تهران,قرارداد تماموقت  
کارشناس فنی استقرار و پشتیبانی نرمافزار,توسعه زیرساخت ها و فناوری اطلاعات سیگما | Sigma ITID,تهران، تهران,قرارداد تماموقت  
متخصص تحلیل و طراحی نرم‏افزار,توسعه زیرساخت ها و فناوری اطلاعات سیگما | Sigma ITID,تهران، تهران,قرارداد تماموقت  
کارشناس تست و مستندسازی نرمافزار,توسعه زیرساخت ها و فناوری اطلاعات سیگما | Sigma ITID,تهران، تهران,قرارداد تماموقت  
متخصص پیاده سازی سامانه های تحت وب (بستر-Portal-Application Builder),توسعه زیرساخت ها و فناوری اطلاعات سیگما | Sigma ITID,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد سرويسهای ابری (OpenStack),توسعه زیرساخت ها و فناوری اطلاعات سیگما | Sigma ITID,تهران، تهران,قرارداد تماموقت  
معمار ارشد (نرمافزارهای Net.),توسعه زیرساخت ها و فناوری اطلاعات سیگما | Sigma ITID,تهران، تهران,قرارداد تماموقت  
توسعهدهنده وردپرس (Full Stack developer),نوآوران هوشمند | Noavaran Hooshmand,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Unity (مشهد),منشور فناوری | IFTPRISM,خراسان رضوی، مشهد,قرارداد تماموقت  
ادمین سایت حضوری,اپتی سنتر | Opticenter,تهران، تهران,قرارداد تماموقت  
Full-Stack Developer (آقا-اصفهان),فولاد گستر | Foolad Gostar,اصفهان، اصفهان,قرارداد تماموقت  
Front Office Team Leader (آقا),ایرانسل لبز | Irancell Labs,تهران، تهران,قرارداد تماموقت  
Full-Stack .NET Developer (یزد-دورکاری),درایت پویان نسل آفتاب (دپنا) | DPNA,یزد، یزد,قرارداد دورکاری  
کارشناس هوش مصنوعی (کرج),توسعه فناوران پیران البرز | Pirun,البرز، کرج,قرارداد تماموقت  
کارشناس استقرار ERP,راهکارهای نرم افزاری پارسان | Parsan Software Solutions,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Back-End (کرج),توسعه فناوران پیران البرز | Pirun,البرز، کرج,قرارداد تماموقت  
کارشناس کنترل پروژه نرمافزاری,آریا اندیش سورنا | Surena,تهران، تهران,قرارداد تماموقت  
SRE) Back Office Engineer-آقا),ایرانسل لبز | Irancell Labs,تهران، تهران,قرارداد تماموقت  
مهندس داده و هوش تجاری (BI-آقا-قم),بنیاد الهادی | Alhadi,قم، قم,قرارداد تماموقت  
برنامهنویس (Full-Stack (.NET,راهکار اندیشان ویرا سیستم | Vira System,تهران، تهران,قرارداد تماموقت  
Back-End Developer (آقا-مشهد),گروه دانش بنیان دایان | Dayangrp,خراسان رضوی، مشهد,قرارداد تماموقت  
