title,company,location,contract
توسعهدهنده وردپرس (Wordpress-اصفهان),ماهر محور موفقیت | Maher the axis of success,اصفهان، اصفهان,قرارداد تماموقت  
برنامهنویس C++ (آقا),فناوران پرتوکام آسیا | Fannavaran PartoCom Asia,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Delphi (دورکاری),آکا سافتور | AK Software,تهران، تهران,قرارداد دورکاری  
طراح سایت (وردپرس),آکادمی صادرات حمید کورئی | hamidkooreiiexporacademy,تهران، تهران,قرارداد تماموقت  
گرافیست وب(خانم),کیاشو | Kiasho,تهران، تهران,قرارداد تماموقت  
برنامه نویس NS3 (شبکه های مخابراتی وایرلس-آقا),صدراموج برتر | sadra mouj bartar,تهران، تهران,قرارداد پارهوقت  
متخصص هوش مصنوعی (کرج),شرکت صنایع تولیدی همایون | Homayoun Co,البرز، کرج,قرارداد تماموقت  
Senior .Net Developer,نت بار | Netbar,تهران، تهران,قرارداد تماموقت  
برنامهنویس جاوا (Java EE),تدبیر سیستم ایرانیان | Tsinco,تهران، تهران,قرارداد تماموقت  
Back-End Developer,فراکنش | Farakonesh,تهران، تهران,قرارداد تماموقت  
Senior Front-End Developer (آقا-دورکاری),پولیتوس | Politusanalytics,تهران، تهران,قرارداد دورکاری  
فول استک دولوپر (Wordpress),پرسیس گالری | Persisgallery,تهران، تهران,قرارداد پارهوقت  
Senior AI Engineer (دورکاری),تیم دانش‌بنیان پتاپروس | PetaProc,تهران، تهران,قرارداد دورکاری  
کارشناس تست نفوذ و ارزیابی امنیتی,داده کاوان هوشمند نارگان | Datall,تهران، تهران,قرارداد تماموقت  
برنامهنویس React Native,پاترا ویژن | Patra Vision,تهران، تهران,قرارداد تماموقت  
تحلیلگر ارشد امنیت (Senior Security Analyst-آقا),خدمات انفورماتیک | ISC,تهران، تهران,قرارداد تماموقت  
طراح UI/UX,امیران سرمایه فارس | Amiran Sarmayeh Fars,تهران، تهران,قرارداد پارهوقت  
طراح سایت (وردپرس),استودیو لبخندینو | Labkhandino Studio,تهران، تهران,قرارداد تماموقت  
برنامهنویس Back-End (اصفهان-NodeJs),پارتاکد | PartaCode,اصفهان، اصفهان,قرارداد تماموقت  
توسعهدهنده وردپرس (Wordpress-اصفهان),پونه مدیا | Poonehmedia,اصفهان، اصفهان,قرارداد تماموقت  
برنامهنویس Back-End,روبیکا(واحد توسعه پشتیبانی)  | Rubika,تهران، تهران,قرارداد تماموقت  
Senior UI/UX Designer,نوین یار | Novin Yar,تهران، تهران,قرارداد تماموقت  
Angular) Senior Front-End Developer),توسعه ابزار بازار سرمایه | TSE TAB,تهران، تهران,قرارداد تماموقت  
کارشناس پیاده سازی نرم افزار سازمانی (شیراز),نوین دو | Novin Dev,فارس، شیراز,قرارداد تماموقت  
برنامهنویس Desktop Application) Python),دماپژوه آروین | DamaPajouh Arvin Co,تهران، تهران,قرارداد تماموقت  
کارشناس پیکربندی نرمافزار (ERP),سبز داده‌افزار | Green Dataware Company,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد NET) Back-End.),فلای تودی | Flytoday,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار QA,رسمیو | Rasmio,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار و پشتیبانی نرمافزار,هوش مصنوعی کلمه | Kalame,تهران، تهران,قرارداد تماموقت  
Front-End Developer (خانم),آموزشگاه ملل | Melal Institute,تهران، تهران,قرارداد تماموقت  
Back-End Developer (خانم),آموزشگاه ملل | Melal Institute,تهران، تهران,قرارداد تماموقت  
برنامهنویس (Back-End (.NET,کارنو | Karno,تهران، تهران,قرارداد تماموقت  
کارشناس Google Ads (دورکاری),وان پلتفرم | 1Platform,تهران، تهران,قرارداد دورکاری  
کارآموز برنامهنویسی فول استک,فنی ومهندسی دیاکو | Diaco,تهران، تهران,قرارداد تماموقت  
کارشناس بلاکچین (Blockchain Specialist),یوبیتکس | Ubitex,تهران، تهران,قرارداد تماموقت  
برنامهنویس Net Core.,تدبیر کیش ویرا | Tadbir Kish Vira,تهران، تهران,قرارداد تماموقت  
برنامهنویس Back-End) Python),توسعه ثروت پاسارگاد (بیتپول) | Bitpull,تهران، تهران,قرارداد تماموقت  
کارشناس فارنزیک و تحلیل بدافزار (آقا),خدمات انفورماتیک | ISC,تهران، تهران,قرارداد تماموقت  
مدیر ارشد فنی (CTO-آقا),هدراه | Hedrah,تهران، تهران,قرارداد تماموقت  
AI Software Engineer,کروز | Crouse,تهران، تهران,قرارداد تماموقت  
کارشناس تحلیل و بهبود فرایندهای CRM,اتو خطیب | Autokhatib,تهران، تهران,قرارداد تماموقت  
برنامهنویس VHDL) FPGA),شرکت مهندسی موج پژوه البرز | Mouj Pajooh Alborz,تهران، تهران,قرارداد تماموقت  
