title,company,location,contract
کارشناس BI,گسترش فن‌آوری‌های نوین | Novin High Tech Solution,تهران، تهران,قرارداد تماموقت  
مدیر ارشد فنی (CTO),مهر مام میهن | MOM,تهران، تهران,قرارداد تماموقت  
Remote-Mid-Level-Python-Django) Back-End Developer),راهکارهای خلاق فناوری اطلاعات | Creative IT Solutions,تهران، تهران,قرارداد دورکاری  
طراح سایت (وردپرس),همراه کارآفرینان رایمون | Raymon Entrepreneurs Compeer,تهران، تهران,قرارداد تماموقت  
برنامهنویس C++ (آقا),فناوران پرتوکام آسیا | Fannavaran PartoCom Asia,تهران، تهران,قرارداد تماموقت  
طراح سایت (وردپرس),آکادمی صادرات حمید کورئی | hamidkooreiiexporacademy,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Delphi (دورکاری),آکا سافتور | AK Software,تهران، تهران,قرارداد دورکاری  
برنامهنویس (Back-End (.NET,آدریان سامانه نوین | Adrian System,تهران، تهران,قرارداد تماموقت  
توسعهدهنده بکاند (Java),بهپرداز جهان | Behpardaz Jahan,تهران، تهران,قرارداد تماموقت  
کارشناس جونیور هوش تجاری و تحلیل داده (BI & Data Analysis),گروه بوران | Booran Group,تهران، تهران,قرارداد تماموقت  
گرافیست وب(خانم),کیاشو | Kiasho,تهران، تهران,قرارداد تماموقت  
برنامه نویس NS3 (شبکه های مخابراتی وایرلس-آقا),صدراموج برتر | sadra mouj bartar,تهران، تهران,قرارداد پارهوقت  
متخصص هوش مصنوعی (کرج),شرکت صنایع تولیدی همایون | Homayoun Co,البرز، کرج,قرارداد تماموقت  
طراح سایت (دورکاری),سیلا دیجیتال | Sila Digital,تهران، تهران,قرارداد دورکاری  
Senior .Net Developer,نت بار | Netbar,تهران، تهران,قرارداد تماموقت  
برنامهنویس جاوا (Java EE),تدبیر سیستم ایرانیان | Tsinco,تهران، تهران,قرارداد تماموقت  
کارشناس هوش مصنوعی (توسعه چت بات),هایمارت | Himart,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Node.js,آذرین نوآوران | NKIT,تهران، تهران,قرارداد تماموقت  
برنامهنویس وردپرس (کرج-دورکاری),تک لاین | Techline,البرز، کرج,قرارداد دورکاری  
تحلیلگر نرمافزار,توسعه نرم افزارهای بانکی نگاه فردای کارآفرین | Negah-E Bank Karafarin,تهران، تهران,قرارداد تماموقت  
طراح و برنامهنویس Front End,ایرانیان | Iranian,تهران، تهران,قرارداد تماموقت  
Back-End Developer,فراکنش | Farakonesh,تهران، تهران,قرارداد تماموقت  
Senior Front-End Developer (آقا-دورکاری),پولیتوس | Politusanalytics,تهران، تهران,قرارداد دورکاری  
توسعه دهنده وردپرس (Wordpress),پرسیس گالری | Persisgallery,تهران، تهران,قرارداد پارهوقت  
Senior AI Engineer (دورکاری),تیم دانش‌بنیان پتاپروس | PetaProc,تهران، تهران,قرارداد دورکاری  
متخصص هوش مصنوعی (کرج-دورکاری),تک لاین | Techline,البرز، کرج,قرارداد دورکاری  
کارشناس تست نفوذ و ارزیابی امنیتی,داده کاوان هوشمند نارگان | Datall,تهران، تهران,قرارداد تماموقت  
Senior Software Engineer (Java),ازکی وام | Azki Vam,تهران، تهران,قرارداد تماموقت  
اسکرام مستر,توسعه نرم افزارهای بانکی نگاه فردای کارآفرین | Negah-E Bank Karafarin,تهران، تهران,قرارداد تماموقت  
